Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-07-15 00:00:00,88620401,DEBIT On Market 1100001100021102,1211232024132.0,,3.0,2.0
2024-07-16 00:00:00,88620401,CREDIT On Market 1100001100021102,1211232024132.0,3.0,,5.0
2024-07-16 00:00:00,88620401,DEBIT On Market 1100001100021102,1211232024132.0,,3.0,2.0
2024-07-18 00:00:00,96669434,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,1.0
2024-07-18 00:00:00,95416154,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,-1.0
2024-07-18 00:00:00,836253,CREDIT On Market 1208870000010189,,3.0,,2.0
2024-07-19 00:00:00,95416154,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,4.0
2024-07-19 00:00:00,95416154,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,2.0
2024-07-19 00:00:00,96669434,CREDIT On Market 1100001100021102,1211232024134.0,1.0,,3.0
2024-07-19 00:00:00,96669434,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,2.0
2024-07-30 00:00:00,503954,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE021A01026,ISIN Name: ASIAN PAINTS EQ 1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,778912,CREDIT On Market 1208870000010189,,3.0,,3.0
2024-06-20 00:00:00,34762789,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,2.0
2024-06-21 00:00:00,34762789,CREDIT On Market 1100001100021102,1211232024115.0,1.0,,3.0
2024-06-21 00:00:00,34762789,DEBIT On Market 1100001100021102,1211232024115.0,,1.0,2.0
2024-07-18 00:00:00,94161092,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,1.0
2024-07-19 00:00:00,94161092,CREDIT On Market 1100001100021102,1211232024134.0,1.0,,2.0
2024-07-19 00:00:00,94161092,DEBIT On Market 1100001100021102,1211232024134.0,,1.0,1.0
2024-08-01 00:00:00,815278,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-08-13 00:00:00,602465,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE238A01034,ISIN Name: AXIS BANK EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-11 00:00:00,757297,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-07-31 00:00:00,22020179,DEBIT On Market 1100001100021102,1211232024143.0,,5.0,5.0
2024-08-01 00:00:00,22020179,CREDIT On Market 1100001100021102,1211232024143.0,5.0,,10.0
2024-08-01 00:00:00,22020179,DEBIT On Market 1100001100021102,1211232024143.0,,5.0,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE917I01010,ISIN Name: BAJAJ AUTO  - EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-02 00:00:00,288274,CREDIT On Market 1208870000010189,,1.0,,1.0
2024-04-29 00:00:00,263023,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-06-05 00:00:00,770930,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-06-07 00:00:00,419869,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-06-24 00:00:00,769506,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-26 00:00:00,46665710,DEBIT On Market 1100001100021102,1211232024119.0,,2.0,3.0
2024-06-27 00:00:00,46665710,CREDIT On Market 1100001100021102,1211232024119.0,2.0,,5.0
2024-06-27 00:00:00,46665710,DEBIT On Market 1100001100021102,1211232024119.0,,2.0,3.0
2024-07-18 00:00:00,95033200,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,1.0
2024-07-19 00:00:00,95033200,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,1.0
2024-11-27 00:00:00,,Closing Balance,,,,1.0
ISIN: INE918I01026,ISIN Name: BAJAJ FINSERV-EQ1/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-03-27 00:00:00,588117,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-11-27 00:00:00,,Closing Balance,,,,2.0
ISIN: INE171Z01026,ISIN Name: BHARAT DYNAMIC-EQ5/-,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-05 00:00:00,770819,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-06 00:00:00,433772,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-06-21 00:00:00,38332422,DEBIT On Market 1100001100021102,1211232024116.0,,3.0,2.0
2024-06-24 00:00:00,38332422,DEBIT On Market 1100001100021102,1211232024116.0,,3.0,-1.0
2024-06-24 00:00:00,38332422,CREDIT On Market 1100001100021102,1211232024116.0,3.0,,2.0
2024-06-26 00:00:00,970167,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-07-18 00:00:00,94249615,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,1.0
2024-07-19 00:00:00,94249615,CREDIT On Market 1100001100021102,1211232024134.0,2.0,,3.0
2024-07-19 00:00:00,94249615,DEBIT On Market 1100001100021102,1211232024134.0,,2.0,1.0
2024-07-23 00:00:00,978261,CREDIT On Market 1208870000010189,,1.0,,2.0
2024-07-31 00:00:00,291787,CREDIT On Market 1208870000010189,,1.0,,3.0
2024-08-16 00:00:00,793663,CREDIT On Market 1208870000010189,,1.0,,4.0
2024-09-05 00:00:00,886111,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-11-27 00:00:00,,Closing Balance,,,,5.0
ISIN: INE263A01024,ISIN Name: BHARAT ELECTRONIC-EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-05-27 00:00:00,302836,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-06-06 00:00:00,434115,CREDIT On Market 1208870000010189,,5.0,,10.0
